Day,Site ,SiteDay,Hab1,Hab2,Hab3,Hab4,Hab5,Edge.Distance,Simpson,Shannon,Pielou,TASimpson,TAShannon,TAPielou,S,VP,VP2,TA,TA2,Snumint,Snumsec,Snumgen,Spctint,Spctsec,Spctgen,VPnumin,VPnumsec,VPnumgen,VPpctint,VPpctsec,VPpctgen,Intpctdiff,Secpctdiff,Genpctdiff,IQI,SQI,AEall,ACI300,ACIall,ADI4500,ADIall,BIrange,BImin,BIall,id,Cluster
1,A,A1,Fringe,Fringe,Edge,Edge,Fringe,45,0.8287018545,2.194458386,0.7325282052,0.7623208495,1.85644878,0.6552449656,18,677,998,599,709,4,7,6,22.22222222,38.88888889,33.33333333,32,513,117,4.726735598,75.77548006,17.28212703,-17.49548662,36.88659117,-16.0512063,0.2127031019,1.948512344,0.383029,17852.81,17955.67833,1.289382,2.02837,2.013895,5.907538,4.805793,1,same
2,A,A2,Fringe,Fringe,Edge,Edge,Fringe,45,0.8930093696,2.624376743,0.7323462742,0.8161266568,2.253332437,0.6561854493,32,955,1550,706,977,6,16,9,18.75,50,28.125,22,786,135,2.303664921,82.30366492,14.13612565,-16.44633508,32.30366492,-13.98887435,0.1228621291,1.646073298,0.598354,17825.3,17934.04,0.97779,1.664933,2.685568,10.58696,7.925764,2,same
3,A,A3,Fringe,Fringe,Edge,Edge,Fringe,45,0.8732729547,2.292045604,0.7651036191,0.838043737,2.146403842,0.7426047655,18,315,439,244,311,6,4,7,33.33333333,22.22222222,38.88888889,32,94,187,10.15873016,29.84126984,59.36507937,-23.17460317,7.619047619,20.47619048,0.3047619048,1.342857143,0.336117,17885.995,17998.92667,1.315235,2.102287,2.07488,6.374089,4.926201,3,same
1,B,B1,Interior,Mixed,Mixed,Other,nil,300,0.8822052958,2.422983239,0.6991251807,0.8709098196,2.423517411,0.719722155,28,761,861,490,572,11,4,12,39.28571429,14.28571429,42.85714286,27,185,547,3.547963206,24.31011827,71.87910644,-35.73775108,10.02440398,29.02196358,0.09031179071,1.701708279,0.299425,17957.53,18064.42,1.31557,2.15582,1.973089,8.461639,7.465559,4,same
2,B,B2,Interior,Mixed,Mixed,Other,nil,300,0.9431156787,3.117181277,0.8188751394,0.9336744595,2.968131836,0.8046161099,41,1335,1482,1011,1143,19,6,16,46.34146341,14.63414634,39.02439024,501,313,502,37.52808989,23.44569288,37.60299625,-8.813373527,8.811546542,-1.421393989,0.8098166765,1.602122347,0.479972,18667.245,18772.97333,1.211455,1.915523,2.579913,9.11417,7.840028,5,same
3,B,B3,Interior,Mixed,Mixed,Other,nil,300,0.8940406269,2.573394132,0.7566141696,0.9090523691,2.662644676,0.8078812101,28,671,863,403,492,12,3,12,42.85714286,10.71428571,42.85714286,116,143,411,17.2876304,21.31147541,61.25186289,-25.56951245,10.5971897,18.39472003,0.4033780427,1.989071038,0.347464,17903.55667,18013.75833,1.325827,2.098964,1.913988,8.804376,7.685525,6,same
1,C,C1,Interior,Varzea,Varzea,Other,Varzea,264,0.9219275922,2.777662676,0.8248941631,0.8992612141,2.577692006,0.791165018,31,805,984,746,831,16,2,8,61.53846154,7.692307692,30.76923077,452,71,267,56.14906832,8.819875776,33.16770186,-5.389393215,1.127568084,2.398471094,0.9124223602,1.146583851,0.337583,17923.15833,18027.59,1.319167,2.112095,2.703766,8.292457,7.492191,7,same
2,C,C2,Interior,Varzea,Varzea,Other,Varzea,264,0.9114044116,2.67106697,0.7639242653,0.875832497,2.467896207,0.7186678518,32,896,1190,677,835,16,3,11,53.33333333,10,36.66666667,409,5,482,45.64732143,0.5580357143,53.79464286,-7.686011905,-9.441964286,17.12797619,0.8558872768,0.05580357143,0.584428,17957.865,18065.50167,1.124994,1.597744,3.826655,8.313558,5.674818,8,same
3,C,C3,Interior,Varzea,Varzea,Other,Varzea,264,0.8973152676,2.553086738,0.7582009028,0.8836760519,2.450599841,0.7435440347,24,560,664,438,465,14,4,10,50,14.28571429,35.71428571,219,34,306,39.10714286,6.071428571,54.64285714,-10.89285714,-8.214285714,18.92857143,0.7821428571,0.425,0.486374,17759.205,17865.85333,1.252324,1.904186,2.695461,9.261818,8.283738,9,same
1,D,D1,Interior,Mixed,Mixed,Other,nil,690,0.8913815548,2.657887222,0.7537196505,0.822397627,2.302577078,0.6705258176,31,748,985,634,696,14,5,12,45.16129032,16.12903226,38.70967742,174,39,529,23.26203209,5.213903743,70.72192513,-21.89925824,-10.91512851,32.01224771,0.5150878533,0.3232620321,0.202318,17946.47833,18075.83333,1.355162,2.234554,2.409113,7.979974,6.966479,10,same
2,D,D2,Interior,Mixed,Mixed,Other,nil,690,0.9095753875,2.789928686,0.784713237,0.8408116502,2.385945288,0.6884382869,32,859,1048,673,731,15,4,12,46.875,12.5,37.5,155,79,606,18.04423749,9.196740396,70.54714785,-28.83076251,-3.303259604,33.04714785,0.384943733,0.7357392317,0.385808,17866.63,17993.34667,1.200847,2.058758,3.786149,8.947403,7.098959,11,same
3,D,D3,Interior,Mixed,Mixed,Other,nil,690,0.884032744,2.429918369,0.7372690057,0.8629381238,2.345595373,0.7380603029,24,604,862,503,546,9,4,11,37.5,16.66666667,45.83333333,72,95,435,11.9205298,15.72847682,72.01986755,-25.5794702,-0.9381898455,26.18653422,0.3178807947,0.9437086093,0.433911,17850.62833,17980.09,1.224307,1.983386,2.351472,7.550984,6.870473,12,same
1,E,E1,Interior,Varzea,Varzea,Other,Varzea,560,0.9232280987,2.823490918,0.7879101427,0.9045997535,2.718845026,0.7775887734,32,844,1137,605,797,17,3,11,53.125,9.375,34.375,376,5,402,44.54976303,0.5924170616,47.63033175,-8.575236967,-8.782582938,13.25533175,0.8385837747,0.06319115324,0.168121,17931.89833,18165.61333,1.365409,2.254328,2.41735,8.604084,7.622479,13,same
2,E,E2,Interior,Varzea,Varzea,Other,Varzea,560,0.9278416384,2.95605359,0.8013418781,0.9164852521,2.883483548,0.8110270776,35,899,1385,689,996,18,2,13,51.42857143,5.714285714,37.14285714,523,19,333,58.17575083,2.113459399,37.04115684,6.747179406,-3.600826315,-0.1017003019,1.131195155,0.3698553949,0.23525,17986.02333,18218.69667,1.35574,2.209121,2.044118,10.782,8.775575,14,same
3,E,E3,Interior,Varzea,Varzea,Other,Varzea,560,0.9050943037,2.783755909,0.7652755941,0.9038406718,2.835540364,0.7975422701,35,641,800,545,673,21,1,13,60,2.857142857,37.14285714,289,1,316,45.08580343,0.1560062402,49.29797192,-14.91419657,-2.701136617,12.15511478,0.7514300572,0.05460218409,0.330633,17762.32167,17993.87333,1.314288,2.107874,2.658331,8.778751,4.962298,15,same
1,F,F1,Fringe,Fringe,Degraded,Other,Fringe,300,0.9097830371,2.675785059,0.7587950921,0.8835269639,2.471154803,0.7196167768,30,711,857,581,653,8,10,11,26.66666667,33.33333333,36.66666667,21,345,343,2.953586498,48.52320675,48.2419128,-23.71308017,15.18987342,11.57524613,0.1107594937,1.455696203,0.13179,18332.60167,18505.84667,1.379598,2.271906,2.374977,8.023776,9.185032,16,same
2,F,F2,Fringe,Fringe,Degraded,Other,Fringe,300,0.928183762,2.851848359,0.8228694969,0.899161054,2.632133645,0.7816757951,28,794,1148,656,917,7,5,15,25,17.85714286,53.57142857,48,288,450,6.04534005,36.2720403,56.67506297,-18.95465995,18.41489745,3.103634401,0.241813602,2.031234257,0.149915,18394.95,18562.71833,1.375998,2.265413,1.767479,8.897154,8.25251,17,same
3,F,F3,Fringe,Fringe,Degraded,Other,Fringe ,300,0.8559373873,2.289611957,0.7204446743,0.87767837,2.32651827,0.7641652566,21,434,667,284,461,6,3,10,28.57142857,14.28571429,47.61904762,8,92,313,1.843317972,21.19815668,72.11981567,-26.7281106,6.912442396,24.50076805,0.06451612903,1.483870968,0.243666,17922.69167,18088.08667,1.346203,2.206063,1.964389,8.023776,6.75124,18,same